episode,p1h,p1_x, p1_y,p2h,p2_x, p2_y,right_of,left_of,above,below,x_clear,y_clear,cd1,cd2,aim_down,aim_left,aim_up,aim_right,p1_x_delta,p2_x_delta,p1_y_delta,p2_y_delta,action,reward,p1_score,p2_score
5118,100.0,-11.974,-7.141,78.0,-13.6,-2.5,0,1,0,1,0,0,0,3,0,0,0,1,0.06199999999999939,0.0,-0.014000000000000234,0.0,0,0,8,22
5119,100.0,-11.713,-7.038,78.0,-13.6,-2.5,0,1,0,1,0,0,0,3,0,0,0,1,0.261000000000001,0.0,0.10299999999999976,0.0,0,0,8,22
5120,100.0,-12.075,-7.166,78.0,-13.6,-2.5,0,1,0,1,0,0,2,3,0,0,0,1,-0.3620000000000001,0.0,-0.1280000000000001,0.0,6,0,8,22
5121,100.0,-12.075,-7.165,78.0,-13.6,-2.5,0,1,0,1,0,0,2,2,1,0,0,0,0.0,0.0,0.001000000000000334,0.0,1,0,8,22
5122,100.0,-11.908,-7.089,78.0,-13.6,-2.5,0,1,0,1,0,0,2,2,0,0,0,1,0.16699999999999982,0.0,0.07599999999999962,0.0,0,0,8,22
5123,100.0,-11.511,-7.041,78.0,-13.6,-2.5,0,1,0,1,0,0,2,2,0,0,0,1,0.39700000000000024,0.0,0.04800000000000004,0.0,0,0,8,22
5124,100.0,-11.009,-7.164,78.0,-13.6,-2.5,0,1,0,1,0,0,2,2,0,0,0,1,0.5019999999999989,0.0,-0.12299999999999933,0.0,7,0,8,22
5125,100.0,-10.972,-7.132,78.0,-13.6,-2.5,0,1,0,1,0,0,2,2,0,1,0,0,0.03700000000000081,0.0,0.03200000000000003,0.0,2,0,8,22
5126,100.0,-11.043,-7.17,78.0,-13.6,-2.5,0,1,0,1,0,0,1,2,0,0,1,0,-0.07099999999999973,0.0,-0.038000000000000256,0.0,3,0,8,22
5127,100.0,-11.043,-7.166,78.0,-13.6,-2.5,0,1,0,1,0,0,1,1,0,0,1,0,0.0,0.0,0.0039999999999995595,0.0,3,0,8,22
5128,100.0,-11.172,-7.107,78.0,-13.6,-2.5,0,1,0,1,0,0,1,1,0,1,0,0,-0.12900000000000134,0.0,0.05900000000000016,0.0,2,0,8,22
5129,100.0,-11.383,-5.018,78.0,-13.6,-2.5,0,1,0,1,0,0,1,1,0,1,0,0,-0.21099999999999852,0.0,2.0890000000000004,0.0,5,0,8,22
5130,100.0,-11.33,-3.373,78.0,-13.6,-2.5,0,1,0,1,0,1,1,1,0,0,0,1,0.05299999999999905,0.0,1.6449999999999996,0.0,0,0,8,22
5131,100.0,-10.905,-2.546,78.0,-13.6,-2.5,0,1,0,1,0,1,1,1,0,0,0,1,0.4250000000000007,0.0,0.8270000000000004,0.0,0,0,8,22
5132,100.0,-10.395,-2.406,78.0,-13.6,-2.5,0,1,1,0,0,1,0,1,0,0,0,1,0.5099999999999998,0.0,0.13999999999999968,0.0,4,0,8,22
5133,100.0,-10.057,-2.587,78.0,-13.6,-2.5,0,1,0,1,0,1,0,0,0,0,0,1,0.3379999999999992,0.0,-0.18100000000000005,0.0,5,0,8,22
5134,100.0,-9.664,-3.096,78.0,-13.6,-2.5,0,1,0,1,0,1,0,0,0,0,0,1,0.3930000000000007,0.0,-0.5089999999999999,0.0,0,0,8,22
5135,100.0,-10.368,-3.722,78.0,-13.6,-2.5,0,1,0,1,0,0,0,3,0,0,0,1,-0.7040000000000006,0.0,-0.6259999999999999,0.0,7,0,8,22
5136,100.0,-11.559,-4.396,78.0,-13.6,-2.5,0,1,0,1,0,0,0,3,1,0,0,0,-1.190999999999999,0.0,-0.6739999999999999,0.0,1,0,8,22
5137,100.0,-12.031,-5.106,78.0,-13.6,-2.5,0,1,0,1,0,0,0,3,0,0,0,1,-0.4720000000000013,0.0,-0.71,0.0,0,0,8,22
5138,100.0,-12.02,-4.699,78.0,-13.6,-2.5,0,1,0,1,0,0,0,3,0,0,0,1,0.011000000000001009,0.0,0.40700000000000003,0.0,5,0,8,22
5139,100.0,-12.041,-3.089,78.0,-13.6,-2.5,0,1,0,1,0,1,0,3,0,1,0,0,-0.021000000000000796,0.0,1.6099999999999999,0.0,2,0,8,22
5140,100.0,-10.24,-2.622,78.0,-13.6,-2.5,0,1,0,1,0,1,2,3,0,1,0,0,1.8010000000000002,0.0,0.4670000000000001,0.0,6,0,8,22
5141,100.0,-8.587,-2.609,78.0,-13.6,-2.5,0,1,0,1,0,1,2,2,0,1,0,0,1.6530000000000005,0.0,0.0129999999999999,0.0,6,0,8,22
5142,100.0,-7.49,-2.951,78.0,-13.6,-2.5,0,1,0,1,0,1,2,2,0,1,0,0,1.0969999999999995,0.0,-0.3420000000000001,0.0,4,0,8,22
5143,100.0,-6.762,-3.616,78.0,-13.6,-2.5,0,1,0,1,0,0,2,2,0,0,1,0,0.7280000000000006,0.0,-0.665,0.0,3,0,8,22
5144,100.0,-6.047,-4.507,78.0,-13.6,-2.5,0,1,0,1,0,0,2,2,0,0,0,1,0.7149999999999999,0.0,-0.8909999999999996,0.0,0,0,8,22
5145,100.0,-5.401,-5.528,78.0,-13.6,-2.5,0,1,0,1,0,0,2,2,0,0,1,0,0.6459999999999999,0.0,-1.021,0.0,3,0,8,22
5146,100.0,-5.112,-6.679,78.0,-13.6,-2.5,0,1,0,1,0,0,1,2,0,1,0,0,0.2889999999999997,0.0,-1.1510000000000007,0.0,2,0,8,22
5147,100.0,-5.318,-7.139,78.0,-13.6,-2.5,0,1,0,1,0,0,1,1,0,1,0,0,-0.20599999999999952,0.0,-0.45999999999999996,0.0,4,0,8,22
5148,100.0,-4.227,-7.164,78.0,-13.6,-2.5,0,1,0,1,0,0,1,1,0,1,0,0,1.0909999999999993,0.0,-0.024999999999999467,0.0,7,0,8,22
5149,100.0,-2.97,-7.164,78.0,-13.6,-2.5,0,1,0,1,0,0,1,1,1,0,0,0,1.2570000000000001,0.0,0.0,0.0,1,0,8,22
